Count,Target_X,Target_Y,Marker_X,Marker_Y,,,,,,
157,350,180,346.5,181.5,,3.5,-1.5,,,
158,350,180,349,180,,1,0,,,
159,350,180,349.5,177.5,,0.5,2.5,,,
160,350,180,349.5,180,,0.5,0,,,
161,350,180,348,178,,2,2,,,
162,350,180,350,181.5,,0,-1.5,,,
163,350,180,348,178.5,,2,1.5,,,
164,350,180,351,176,,-1,4,,,
165,350,180,349,180,,1,0,,,
166,350,180,351,178,,-1,2,,,
167,350,180,350,180,,0,0,,,
168,350,180,351.5,178,,-1.5,2,,,
169,350,180,349,180,,1,0,,,
170,350,180,351,177,,-1,3,,,
171,350,180,348,180,,2,0,,,
172,350,180,348,178,,2,2,,,
173,350,180,348,180,,2,0,,,
174,350,180,350,178,,0,2,,,
175,350,180,350,181,,0,-1,,,
176,350,180,352,177.5,,-2,2.5,,,
177,350,180,348.5,178.5,,1.5,1.5,,,
178,350,180,351,177,,-1,3,,,
179,350,180,350,180,,0,0,,,
180,350,180,350,181.5,,0,-1.5,,,
181,350,180,349.5,179.5,,0.5,0.5,,,
182,350,180,351,177,,-1,3,,,
183,350,180,349,180,,1,0,,,
184,350,180,351,182,,-1,-2,,,
185,350,180,349,179,,1,1,,,
186,350,180,352,178,,-2,2,,,
187,350,180,348,178,,2,2,,,
188,350,180,348,179,,2,1,,,
189,350,180,349,180.5,,1,-0.5,,,
190,350,180,348,179,,2,1,,,
191,350,180,349,179,,1,1,,,
192,350,180,348,178,,2,2,,,
193,350,180,346,179,,4,1,,,
194,350,180,351.5,174.5,,-1.5,5.5,,,
195,350,180,351,177,,-1,3,,,
196,350,180,350,175.5,,0,4.5,,,
197,350,180,349.5,180.5,,0.5,-0.5,,,
198,350,180,351.5,176,,-1.5,4,,,
199,350,180,348,178,,2,2,,,
